Year,ClubNum,Req01,Req02,Req03,Req04,Req05,Req06,Req07,Req08,Req09,Req10
2009,784,1,0,0,0,0,0,1,1,0,0
2009,3989,1,0,1,1,1,1,1,1,1,0
2009,8379,1,0,1,1,0,0,0,0,0,1
2009,375,0,0,0,0,0,0,1,1,0,0
2009,3975,1,1,1,1,0,0,1,1,1,1
2009,4553,1,0,1,1,0,0,1,1,0,0
2009,647252,1,0,1,1,0,0,1,1,0,0
2009,780094,0,0,1,0,0,0,1,0,0,1
2009,619,1,0,1,0,1,0,1,1,0,1
2009,531,1,0,1,1,1,1,1,1,1,1
2009,8533,0,0,0,0,0,0,0,0,0,0
2009,8695,0,0,1,0,0,0,1,0,0,1
2009,905038,1,1,1,0,1,1,1,1,1,1
2009,1291901,0,0,0,0,0,0,0,0,0,0
2009,7818,1,1,1,1,1,1,1,1,1,1
2009,639550,0,0,1,0,0,0,1,0,1,1
2009,716047,1,0,1,0,0,0,0,0,0,1
2009,1021224,1,0,1,0,1,1,1,1,1,1
2009,3022,0,0,1,1,0,0,1,1,0,1
2009,7329,0,0,1,0,0,0,1,1,0,1
2009,603677,1,1,1,1,1,1,1,1,1,1
2009,631413,1,1,1,1,1,1,1,1,1,0
2009,1028217,0,0,0,0,0,0,0,0,0,0
2009,3557,1,1,1,0,1,1,1,1,1,1
2009,4780,1,1,1,0,0,0,1,1,1,1
2009,8102,0,0,1,0,0,0,1,1,0,1
2009,698823,0,0,0,0,0,0,0,0,1,1
2009,810454,1,0,1,1,1,1,1,0,1,1
2009,1097218,1,0,0,0,0,0,1,1,0,1
2009,1112188,1,0,1,0,1,1,1,0,0,1
2009,1197248,0,0,0,0,0,0,0,0,0,0
2010,375,0,0,0,0,0,0,1,1,0,1
2010,619,1,0,1,0,1,0,1,1,1,1
2010,784,0,0,1,0,0,0,1,0,1,0
2010,3022,1,0,0,0,1,0,1,0,0,1
2010,3557,1,1,1,0,1,1,1,1,1,1
2010,3975,1,1,1,0,0,0,1,1,1,1
2010,3989,1,1,0,0,1,1,1,1,1,1
2010,4553,0,0,1,0,0,0,1,1,0,1
2010,4780,1,0,1,0,1,0,1,1,1,1
2010,5314,1,1,1,0,1,1,1,1,1,1
2010,7329,1,1,1,1,0,0,1,1,1,1
2010,7818,1,0,1,1,1,1,1,1,1,1
2010,8102,1,1,1,1,1,1,1,1,1,1
2010,8379,0,0,1,0,0,0,0,0,0,0
2010,8533,0,0,0,0,0,0,0,0,0,0
2010,8695,1,0,1,0,0,0,0,0,0,1
2010,603677,1,0,1,0,0,0,1,0,0,1
2010,631413,1,1,1,1,1,1,1,1,0,1
2010,639550,0,0,1,0,0,0,1,0,0,1
2010,647252,1,1,0,0,1,0,1,1,1,1
2010,698823,0,0,1,0,1,0,1,0,0,0
2010,716047,0,0,0,0,0,0,1,1,0,0
2010,780094,0,0,1,0,0,0,1,1,1,0
2010,810454,1,0,1,0,1,0,1,1,1,1
2010,905038,1,0,1,0,0,0,1,0,1,1
2010,1021224,1,1,1,0,1,1,1,1,1,1
2010,1028217,1,0,0,0,0,0,1,1,1,1
2010,1097218,1,1,1,0,1,1,1,1,1,1
2010,1112188,1,0,0,0,0,0,1,1,0,1
2010,1197248,1,1,1,0,0,0,1,1,1,1
2010,1291901,0,0,1,0,1,1,0,0,0,1
2011,784,0,0,1,0,0,0,0,0,0,1
2011,3975,1,0,1,1,1,0,1,1,1,1
2011,3989,0,0,0,0,1,1,1,0,1,0
2011,8379,0,0,0,0,0,0,0,0,1,0
2011,375,0,0,0,0,0,0,1,0,1,1
2011,5314,0,0,1,1,1,1,1,1,1,1
2011,647252,1,0,1,0,0,0,1,1,0,1
2011,780094,0,0,0,0,0,0,1,1,0,1
2011,619,1,0,1,1,0,0,1,1,1,1
2011,4553,1,1,1,1,0,0,1,0,0,1
2011,8533,1,0,0,0,0,0,0,0,0,1
2011,8695,1,0,1,1,1,1,1,0,0,0
2011,905038,1,1,1,1,1,1,1,0,1,1
2011,810454,1,0,1,1,1,1,1,0,1,1
2011,1097218,1,1,0,0,1,0,1,1,1,1
2011,1112188,0,0,0,0,0,0,1,0,1,1
2011,1197248,1,0,1,0,0,0,1,0,1,1
2011,7818,1,0,1,1,1,1,1,1,1,1
2011,639550,0,0,1,0,0,0,1,0,1,0
2011,716047,0,0,0,0,0,0,0,0,0,1
2011,1021224,1,1,1,1,1,1,1,1,1,1
2011,1291901,0,0,0,0,0,0,0,0,1,1
2011,3022,0,0,1,0,0,0,1,0,1,1
2011,7329,1,0,0,0,0,0,1,1,1,1
2011,603677,0,0,1,0,1,0,1,1,0,1
2011,631413,1,1,1,0,1,1,1,1,1,1
2011,1028217,0,0,0,0,0,0,0,0,0,0
2011,1829090,0,0,0,0,0,0,0,0,0,0
2011,3557,1,1,1,1,1,0,1,1,1,1
2011,4780,1,1,1,0,1,1,1,1,1,1
2011,8102,0,0,1,0,1,0,1,1,1,1
2011,698823,1,0,0,0,0,0,1,1,1,1
2012,784,1,0,0,0,1,0,1,1,1,0
2012,3975,0,0,0,0,1,0,1,1,0,1
2012,3989,0,0,1,0,0,0,1,1,1,1
2012,8379,0,0,1,0,0,0,0,0,1,0
2012,375,1,1,0,0,0,0,1,0,1,1
2012,5314,1,1,1,0,1,1,1,1,1,1
2012,647252,0,0,0,0,0,0,1,1,0,0
2012,780094,0,0,0,0,0,0,0,0,0,0
2012,619,0,0,0,0,1,0,1,0,1,1
2012,4553,1,0,1,1,1,0,1,0,1,1
2012,8533,0,0,0,0,0,0,0,0,0,1
2012,8695,0,0,1,0,1,0,1,0,1,1
2012,905038,1,1,1,0,1,1,1,1,1,1
2012,2286479,0,0,0,0,0,0,0,0,0,0
2012,810454,1,1,1,1,1,1,1,1,1,1
2012,1097218,0,0,0,0,0,0,1,1,1,1
2012,1112188,0,0,0,0,0,0,1,1,0,1
2012,1197248,0,0,1,1,1,1,1,1,0,1
2012,7818,0,0,0,0,1,1,1,0,1,1
2012,716047,0,0,0,0,0,0,0,0,0,1
2012,1021224,1,0,1,1,1,1,0,0,1,1
2012,1588571,0,0,0,0,0,0,0,0,0,0
2012,2490356,0,0,0,0,0,0,0,0,0,0
2012,3022,0,0,0,0,0,0,1,0,0,1
2012,7329,1,0,1,0,1,0,1,0,0,1
2012,603677,1,0,1,1,1,1,1,0,0,1
2012,631413,1,1,1,1,1,1,1,1,1,1
2012,1829090,0,0,0,0,0,0,0,0,0,1
2012,3557,1,1,1,1,1,1,1,1,1,1
2012,4780,0,0,0,0,1,1,1,1,0,1
2012,8102,1,0,1,0,1,0,1,0,1,1
2012,698823,1,0,0,0,1,0,1,1,1,1
2013,784,0,0,1,1,0,0,1,0,1,1
2013,3975,1,0,1,1,1,1,1,1,1,1
2013,3989,0,0,0,0,0,0,1,1,0,1
2013,8379,0,0,0,0,0,0,0,0,0,1
2013,375,0,0,1,0,0,0,1,1,1,1
2013,619,1,0,1,1,1,1,1,1,1,1
2013,5314,1,1,1,1,1,1,1,1,0,1
2013,647252,0,0,0,0,0,0,1,1,1,1
2013,780094,0,0,0,0,0,0,0,0,0,0
2013,3028311,0,0,0,0,0,0,0,0,0,0
2013,4553,0,0,1,0,1,0,1,1,1,0
2013,8533,0,0,0,0,0,0,0,0,0,0
2013,8695,0,0,0,0,0,0,1,0,1,0
2013,905038,1,1,1,1,1,1,1,0,1,1
2013,2286479,1,1,0,0,1,1,1,1,1,1
2013,810454,0,0,0,0,0,0,1,0,1,1
2013,1097218,1,0,0,0,1,1,1,1,1,1
2013,1112188,0,0,0,0,0,0,0,0,0,1
2013,1197248,0,0,0,0,1,0,1,0,1,1
2013,1588571,1,1,0,0,1,1,1,1,0,1
2013,7818,1,0,1,0,1,1,1,1,0,1
2013,631413,1,0,1,1,1,1,1,1,1,1
2013,716047,0,0,0,0,0,0,0,0,0,1
2013,1021224,0,0,1,0,1,0,0,0,0,1
2013,2490356,0,0,0,0,0,0,0,0,0,1
2013,3022,0,0,1,0,0,0,1,0,0,1
2013,7329,1,0,1,1,1,1,1,1,0,1
2013,603677,1,0,1,0,1,1,1,0,0,1
2013,1829090,0,0,0,0,0,0,1,1,0,0
2013,2804989,0,0,0,0,0,0,1,0,0,1
2013,3557,1,1,1,1,1,1,1,1,1,1
2013,4780,1,0,0,0,1,1,1,1,0,0
2013,8102,0,0,1,0,1,0,0,0,1,1
2013,698823,0,0,1,0,1,0,1,1,0,1
2014,784,1,0,0,0,0,0,1,1,1,1
2014,3975,1,1,1,1,1,1,1,1,1,1
2014,3989,0,0,0,0,0,0,1,1,0,0
2014,8379,0,0,1,1,0,0,1,0,0,0
2014,375,0,0,0,0,0,0,1,0,0,1
2014,619,1,1,1,0,1,1,1,1,1,1
2014,5314,1,1,1,1,1,1,1,1,0,1
2014,647252,1,1,1,0,1,0,1,1,0,1
2014,3028311,1,1,1,1,1,1,1,0,1,1
2014,4553,1,1,1,0,1,1,1,0,0,1
2014,8533,0,0,0,0,0,0,0,0,0,1
2014,8695,1,1,0,0,0,0,1,1,0,1
2014,905038,1,1,1,1,1,1,1,0,1,1
2014,2286479,1,1,1,0,1,1,1,1,1,1
2014,810454,0,0,0,0,0,0,1,0,0,0
2014,1097218,0,0,0,0,0,0,1,1,0,1
2014,1112188,0,0,0,0,0,0,1,1,0,1
2014,1197248,0,0,0,0,0,0,1,0,0,1
2014,1588571,1,0,0,0,0,0,1,0,1,1
2014,7818,1,0,1,0,1,1,1,1,0,1
2014,631413,1,0,1,1,1,1,1,1,1,1
2014,716047,0,0,0,0,0,0,0,0,0,0
2014,1021224,1,1,1,1,1,1,1,1,0,1
2014,2490356,0,0,1,0,1,0,0,0,0,1
2014,3022,0,0,1,0,1,1,0,0,0,1
2014,7329,1,0,1,1,1,0,1,0,1,1
2014,603677,1,0,1,0,1,0,1,0,0,1
2014,1829090,0,0,0,0,0,0,0,0,0,0
2014,2804989,0,0,0,0,0,0,1,1,0,1
2014,3557,1,1,1,0,1,1,1,1,1,1
2014,4780,1,0,1,0,1,1,1,1,0,0
2014,8102,0,0,1,1,1,0,1,1,0,1
2014,698823,1,0,1,0,1,1,1,1,1,1
2015,784,0,0,0,0,0,0,1,0,1,0
2015,3975,1,1,1,0,1,1,1,1,1,1
2015,3989,0,0,0,0,0,0,1,0,0,1
2015,8379,0,0,1,1,0,0,0,0,0,1
2015,375,0,0,0,0,0,0,1,1,1,1
2015,619,1,1,1,1,1,1,1,1,1,1
2015,5314,1,1,1,1,1,1,1,1,1,1
2015,647252,1,1,1,1,1,1,1,1,1,1
2015,3028311,1,1,1,1,1,1,1,0,1,1
2015,4553,1,1,0,0,1,1,1,1,1,0
2015,8533,0,0,0,0,0,0,0,0,0,0
2015,8695,1,0,1,1,1,1,1,1,1,1
2015,905038,0,0,1,1,1,1,1,0,1,1
2015,2286479,1,1,0,0,1,1,1,0,0,1
2015,1097218,0,0,0,0,0,0,0,0,0,0
2015,1112188,0,0,0,0,0,0,0,0,0,1
2015,1588571,1,0,0,0,1,1,1,1,1,1
2015,4800292,0,0,0,0,0,0,0,0,0,1
2015,7818,1,0,1,1,1,1,1,1,1,1
2015,631413,1,1,1,0,1,1,1,1,1,1
2015,716047,0,0,1,0,0,0,1,0,0,1
2015,1021224,1,0,1,0,1,1,1,1,1,1
2015,2490356,0,0,0,0,0,0,0,0,0,0
2015,7329,1,0,1,1,1,1,1,0,0,1
2015,603677,0,0,1,1,1,0,1,1,0,1
2015,2804989,0,0,0,0,0,0,1,1,0,0
2015,3557,1,1,1,0,1,1,1,1,1,1
2015,4780,0,0,0,0,0,0,1,1,0,1
2015,8102,1,0,0,0,1,1,1,1,1,1
2015,698823,1,0,0,0,1,0,1,1,0,0
2016,784,1,1,1,1,1,1,1,1,1,1
2016,3989,1,0,0,0,0,0,1,1,1,1
2016,8379,0,0,0,0,0,0,1,0,0,1
2016,3028311,1,1,1,1,1,1,0,0,1,1
2016,375,0,0,0,0,0,0,1,1,0,1
2016,619,1,0,1,1,1,1,1,1,1,1
2016,5314,1,1,1,1,1,1,1,1,1,1
2016,647252,1,0,1,1,1,1,1,1,1,1
2016,8533,0,0,0,0,0,0,1,1,0,0
2016,8695,1,1,1,1,1,0,1,1,1,1
2016,905038,1,0,1,1,1,1,1,1,1,1
2016,2286479,0,0,1,0,1,1,1,1,1,0
2016,3975,1,1,1,1,1,0,1,1,1,1
2016,4553,1,1,0,0,0,0,1,1,0,1
2016,1112188,0,0,0,0,0,0,0,0,0,0
2016,4800292,0,0,0,0,1,1,1,1,1,1
2016,7818,1,1,1,1,1,1,1,1,1,1
2016,716047,1,0,1,0,1,1,1,1,0,1
2016,1021224,1,1,1,0,1,1,1,1,0,0
2016,1588571,1,0,1,1,1,1,1,1,0,1
2016,7329,0,0,0,0,0,0,1,1,0,1
2016,603677,1,1,1,0,1,1,1,0,0,1
2016,631413,1,0,1,1,1,1,1,1,1,1
2016,4677636,0,0,0,0,0,0,0,0,0,1
2016,3557,1,1,1,1,1,1,1,1,1,0
2016,4780,0,0,1,0,0,0,1,1,0,0
2016,8102,0,0,0,0,0,0,1,0,0,1
2016,698823,0,0,0,0,0,0,1,1,0,1
